Date,Open,High,Low,Close,Volume
2020-01-02,67.0775,68.407,67.0775,68.3685,28134620
2020-01-03,67.393,68.625,67.277,68.033,23740120
2020-01-06,67.5,69.825,67.5,69.7105,34662980
2020-01-07,69.897,70.1495,69.519,69.667,30233860
2020-01-08,69.604,70.579,69.542,70.216,30583540
2020-01-09,71.0285,71.3665,70.5135,70.9915,30053280
2020-01-10,71.378,71.7465,70.9175,71.4865,36431320
2020-01-13,71.8065,72.026,71.301,71.9615,33069640
2020-01-14,71.9505,72.09,71.4185,71.544,31209060
2020-01-15,71.5105,72.07,71.5105,71.96,25653700
2020-01-16,72.372,72.5995,72.046,72.585,23473760
2020-01-17,73.1455,74.065,72.911,74.0195,47924300
2020-01-21,73.956,74.5925,73.56,74.22,40735600
2020-01-22,74.55,75.1605,74.2465,74.2975,32216920
2020-01-23,74.382,74.776,74.105,74.3325,27027080
2020-01-24,74.6795,74.775,73.2625,73.3355,35692880
2020-01-27,71.55,71.9035,71.06,71.695,35104020
2020-01-28,72.15,72.8,71.6235,72.628,31548440
2020-01-29,72.94,73.2715,72.337,72.9315,21573340
2020-01-30,71.998,72.864,71.82,72.792,26788420
2020-01-31,73.445,73.5065,71.4265,71.7115,48344280
2020-02-03,72.97,74.5,72.9495,74.297,61104320
2020-02-04,72.8535,73.475,71.315,72.3535,78659080
2020-02-05,73.121,73.192,71.528,72.4115,39723140
2020-02-06,72.5165,74.1,72.4785,73.8115,33587680
2020-02-07,73.365,74.292,73.3175,73.9615,23445400
2020-02-10,73.716,75.475,73.716,75.434,28397520
2020-02-11,75.5905,76.4815,75.282,75.4395,26892660
2020-02-12,75.724,76.035,75.4055,75.9135,23351300
2020-02-13,75.6345,76.359,75.23,75.733,18594600
2020-02-14,75.78,76.037,75.367,76.037,23956720
2020-02-18,75.75,76.5815,75.6295,75.9835,22422800
2020-02-19,76.2535,76.6055,76.07,76.3345,18985360
2020-02-20,76.1,76.482,75.341,75.9075,21931040
